feature,class_label
"[-1.5862929e-03 -2.3101026e-03 -2.1881405e-03 ... -4.6548277e-05
 -3.3222939e-05 -8.4038111e-05]",down
"[-0.0016722  -0.00221147 -0.00197316 ...  0.00295151  0.00269331
  0.00229867]",down
"[-7.5154949e-10  1.6561021e-08  5.3492602e-08 ... -3.1631280e-04
  9.7313037e-05  8.9366236e-05]",down
"[-0.00346494 -0.00547148 -0.00399594 ...  0.00453487  0.00367206
  0.00237961]",down
"[-0.00021153 -0.00051876 -0.00128786 ...  0.00782535  0.00803007
  0.00827786]",down
"[5.2868760e-05 6.7159883e-05 6.0346560e-05 ... 3.4464509e-03 3.1870101e-03
 2.6866274e-03]",down
"[-0.03011502 -0.05468287 -0.04836755 ...  0.04612297  0.04715932
  0.0482955 ]",down
[0.0016123  0.00268752 0.00374687 ... 0.00113443 0.00041349 0.00076942],down
"[-0.0035914  -0.00476021 -0.00259726 ... -0.05630521 -0.05708786
 -0.05589538]",down
[0.00051589 0.00119519 0.00046285 ... 0.00045106 0.00041873 0.00060901],down
"[ 1.9106827e-05  6.0180336e-04  5.1273534e-04 ... -1.0318568e-04
  2.1042698e-04  3.3878058e-04]",down
"[-0.00104096 -0.00251285 -0.00197673 ...  0.00052208 -0.0006426
 -0.00052911]",down
"[-0.00282836 -0.00544559 -0.00610514 ... -0.00231744 -0.00337812
 -0.0043612 ]",down
[0.00386028 0.00496936 0.00492536 ... 0.0136701  0.01109927 0.00818421],down
"[-0.00024466 -0.00046839 -0.00058685 ... -0.00036028  0.00053523
  0.00026336]",down
"[-0.000854   -0.0016158  -0.00165502 ... -0.00124879 -0.0011773
 -0.00096946]",down
"[ 6.9256586e-08  3.2920912e-08 -3.6060978e-08 ...  5.0785122e-05
  3.9295432e-05  4.3029788e-05]",down
"[-0.00247321 -0.00518824  0.00818792 ... -0.001851   -0.00149833
 -0.00144731]",down
"[-1.1121667e-04 -4.1764637e-04 -6.1061484e-04 ...  1.2420670e-05
 -1.5036785e-04  1.8420911e-05]",down
"[ 0.00122164  0.0018642   0.0020135  ... -0.01247808 -0.01228202
 -0.01209566]",down
"[-0.00118473 -0.00186374 -0.00152656 ...  0.02160729  0.02297822
  0.02453642]",down
"[ 0.01855508  0.02581991  0.02463726 ... -0.02693756 -0.02867337
 -0.03076518]",down
"[-3.9779433e-04 -2.5870887e-04  4.6386573e-05 ... -1.8626549e-04
 -3.8751878e-04 -5.0185854e-04]",down
"[ 0.00055909 -0.00091676  0.0009146  ...  0.00132759  0.0002288
 -0.00094534]",down
"[-9.9294353e-04 -1.0942675e-03 -7.4126892e-04 ... -2.9360052e-04
 -2.2331212e-04 -4.9788527e-05]",down
"[-1.1462722e-03 -2.0677913e-03 -2.3127501e-03 ...  1.0156652e-04
  2.4064758e-04  4.4044009e-05]",down
"[-0.00037517 -0.00059252 -0.00055599 ... -0.00192361 -0.00179711
 -0.0012697 ]",down
"[ 0.00055135  0.000626    0.0004743  ...  0.00011181 -0.00024172
 -0.00056446]",down
"[-0.001121   -0.00171478 -0.001692   ...  0.00085125  0.000925
  0.00107192]",down
"[-0.00060778 -0.00127933 -0.00166626 ... -0.00090931 -0.00129174
 -0.0015528 ]",down
"[ 3.4409508e-03  4.3800441e-03  3.7896705e-03 ... -1.2927104e-04
 -5.8931695e-05 -6.8175344e-05]",down
[0.0103112  0.01972593 0.04237003 ... 0.01517787 0.01021389 0.01278542],down
"[5.0859278e-05 6.7188492e-05 5.7491729e-05 ... 3.2180655e-04 3.2665877e-04
 3.5668220e-04]",down
"[-2.7063139e-05 -5.5850127e-05 -8.1140155e-05 ... -1.4201475e-04
 -1.2140494e-04 -1.1661693e-04]",down
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  2.7854261e-05
 -1.3449728e-04 -2.2233087e-04]",down
[0.00016569 0.00026813 0.00013501 ... 0.00046994 0.00066882 0.00071199],down
"[-0.00557824 -0.00753495 -0.00721922 ...  0.00610336  0.00635804
  0.0066083 ]",down
"[-9.1585971e-05  7.1989976e-05  1.5372317e-04 ... -1.1226158e-03
 -1.1127435e-03 -1.1516644e-03]",down
"[ 7.8286284e-05  9.8785225e-05  8.3711129e-05 ... -1.1018801e-04
 -9.7660362e-05 -7.3054041e-05]",down
"[ 2.1550250e-07 -4.7349698e-07  9.4575819e-07 ...  9.8288992e-06
  9.0422491e-06  3.1559317e-05]",down
"[-0.00293876 -0.00494153 -0.0050962  ...  0.00138596  0.00110209
  0.00110967]",down
"[ 1.00712416e-04 -1.58079583e-05 -9.64111241e-05 ...  3.59110651e-03
  3.37862689e-03  3.06889042e-03]",down
"[-3.3388314e-08  3.7145774e-08 -4.0964935e-08 ... -1.1886571e-04
  8.1132958e-04  1.6774429e-03]",down
"[ 0.00073092  0.00114632  0.00120636 ... -0.00054105 -0.00075158
 -0.0009386 ]",down
"[ 2.1810913e-04  3.6747419e-04  4.0526260e-04 ... -8.4495543e-05
 -9.7482363e-05 -1.2659426e-04]",down
"[ 3.4374782e-05 -1.8969988e-03 -2.4399329e-03 ...  8.6089154e-04
  2.0847004e-04  8.2644389e-04]",down
"[-0.0065491  -0.01706235 -0.01726126 ... -0.00303036 -0.00237718
  0.00273358]",down
"[-0.00162727 -0.00288859 -0.00244531 ...  0.00616106  0.00447376
  0.00417293]",down
"[-0.00993951 -0.01397403 -0.01301438 ...  0.01070625  0.01046306
  0.01025014]",down
"[ 0.00207142  0.00558269  0.00540978 ... -0.00199351  0.00108774
  0.0011239 ]",down
"[ 3.6995660e-04  4.8549179e-04  4.3542829e-04 ... -4.1042793e-05
 -4.1272826e-05 -2.7813476e-05]",down
"[ 1.7745048e-06  2.5725249e-06 -1.8487495e-05 ...  4.9885995e-05
  5.0525392e-05  3.6444701e-05]",down
"[-0.00056446 -0.00092738 -0.00084571 ... -0.00067715 -0.00069907
 -0.00057521]",down
[0.01440337 0.0210111  0.01690161 ... 0.02528438 0.02383179 0.02134868],down
"[-0.00026764 -0.00068719 -0.00166196 ...  0.00202963  0.00292014
  0.00316293]",down
"[ 1.7628308e-03  3.6566053e-03  3.6934810e-03 ... -6.3352985e-05
 -9.6767175e-04 -1.7277473e-03]",down
"[ 0.00235592  0.00255896  0.0026151  ... -0.00611026 -0.00524963
 -0.00382504]",down
"[-0.00175742 -0.00395366 -0.00595059 ... -0.00074374 -0.00044683
 -0.00081664]",down
"[ 0.00082843  0.00135279  0.00157276 ... -0.00112526 -0.00118424
 -0.0012824 ]",down
[0.00046531 0.00115392 0.00197825 ... 0.00066631 0.00049935 0.00062342],down
[0.00106867 0.00193414 0.0025287  ... 0.00061794 0.0008704  0.00047128],down
"[-6.4162514e-06  1.5590110e-04  2.6132481e-04 ... -2.1115196e-04
 -1.7766991e-04 -1.5559488e-05]",down
"[-0.00021209 -0.00079021 -0.00142547 ...  0.00080754  0.00085438
  0.00073399]",down
"[-0.0001493  -0.00031228 -0.00032331 ... -0.00020554 -0.00015973
 -0.00013459]",down
"[-0.00203682 -0.00415453 -0.00418117 ...  0.0035467   0.00482942
  0.00443188]",down
"[ 1.7733703e-06  3.1219541e-05 -1.9983680e-05 ... -1.1834136e-05
 -8.4180056e-06 -9.0448402e-06]",down
"[ 2.0151252e-05  4.1499243e-07 -4.3697884e-05 ...  4.6455276e-05
  3.4972560e-05 -3.0737974e-05]",down
[0.00077246 0.00090051 0.00076894 ... 0.00095982 0.00098278 0.00068628],down
"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.2250539e-05 2.0910993e-05
 1.8452592e-05]",down
"[ 4.5788804e-09  1.1623272e-08  1.0406779e-08 ... -6.7710329e-04
 -8.4988563e-04 -1.1959925e-03]",down
"[ 0.00048439 -0.00079791 -0.00153108 ...  0.00051664  0.0005026
  0.00021737]",down
"[ 0.0007935   0.00161519  0.00258435 ... -0.00147463 -0.00104159
 -0.00075017]",down
"[4.8230519e-05 5.5931002e-04 5.1285408e-04 ... 1.6147661e-04 1.2922652e-04
 1.5024515e-04]",down
"[-4.8264017e-05 -1.0246809e-04 -1.2151981e-04 ... -1.7541757e-05
 -9.9111658e-06  1.2260402e-06]",down
"[ 4.5909197e-05 -1.8305795e-03 -8.1314740e-04 ...  1.1175959e-03
  1.6369214e-03  2.0522871e-03]",down
"[ 3.3714280e-02  6.2918603e-02  5.3413451e-02 ... -1.5052083e-03
  2.7679422e-04 -8.2453598e-06]",down
"[ 3.5519226e-04  1.4517253e-05 -6.0150342e-04 ...  4.1662573e-04
 -4.8433308e-04 -1.0419359e-03]",down
"[ 0.00077983 -0.00425859 -0.00872664 ...  0.00175703  0.00133958
  0.0034577 ]",down
"[-1.9029112e-04 -6.0431438e-04 -7.7182485e-04 ... -1.1104936e-04
 -1.2597861e-04 -6.4912914e-05]",down
"[ 0.02985642  0.04538072  0.04784453 ... -0.00332754 -0.00918207
 -0.01205717]",down
"[-0.01117789 -0.02001248 -0.0160082  ...  0.02402261  0.02371273
  0.02353756]",down
"[-1.4842233e-05  1.2737286e-03  2.7297447e-03 ... -6.6942270e-03
 -5.8619641e-03 -4.5016436e-03]",down
"[ 0.00173036  0.00273282  0.00252492 ... -0.00328857 -0.00326635
 -0.00304425]",down
"[-8.7150454e-07 -3.5667722e-06  2.2134011e-05 ... -8.1942388e-04
 -6.0596300e-04 -6.3013693e-04]",down
"[ 2.4803627e-05  5.6863748e-05  7.3594594e-05 ... -5.8981932e-05
 -5.6157241e-05 -7.5610755e-05]",down
"[ 0.00109647  0.00073535  0.00068348 ...  0.00029878 -0.00042056
 -0.00048985]",down
[0.00044953 0.00081457 0.00081607 ... 0.00054263 0.00094912 0.00076992],down
[0.00050961 0.00078122 0.00077906 ... 0.0012219  0.00129694 0.00137553],down
"[-0.00070135 -0.00091137 -0.00080018 ... -0.00052702 -0.0004198
 -0.00033356]",down
"[ 0.01051139  0.01529424  0.01427173 ... -0.00777411 -0.00903055
 -0.00913404]",down
"[ 0.01048867  0.01537391  0.01519644 ... -0.00906147 -0.01031918
 -0.01108503]",down
"[ 5.3533554e-06  2.7540478e-05  2.6012511e-05 ... -1.6181871e-04
 -2.5999453e-04 -2.5279610e-04]",down
"[ 2.3389492e-05 -4.5561377e-05 -4.3079501e-05 ...  7.9705915e-06
 -1.5619677e-05 -4.7841077e-05]",down
"[ 7.6829107e-05  7.4350777e-05  5.2097086e-05 ... -3.7821144e-02
 -1.5209949e-02  1.1314776e-02]",down
"[-1.83732744e-04 -2.80101522e-04 -2.79721920e-04 ... -2.19383164e-05
  1.18441485e-05  3.78129625e-05]",down
"[ 0.0058072   0.00740591  0.00623455 ... -0.00436316 -0.00420305
 -0.00419317]",down
"[ 0.00336337  0.0052036   0.00566251 ... -0.02015491 -0.02518211
 -0.03067468]",down
"[-5.3004263e-04  1.7462651e-03 -4.8415852e-05 ... -4.4378610e-03
  1.4551478e-02  2.9292410e-02]",down
"[-0.00114992 -0.00152073 -0.00133524 ...  0.00086213  0.00092728
  0.00089605]",down
"[ 0.0027585   0.00385868  0.00359192 ... -0.00305881 -0.00296872
 -0.00315055]",down
"[ 0.00260546  0.01152888  0.01755955 ... -0.01975927 -0.01824375
 -0.01630159]",down
[0.00559723 0.01609854 0.02175613 ... 0.01107616 0.00829761 0.00564874],down
[0.00597804 0.01984332 0.02470031 ... 0.01158629 0.00923952 0.00500889],down
"[ 3.3211882e-07 -2.4821636e-06  2.9923231e-05 ... -2.0919819e-05
 -2.7746424e-05 -1.3160578e-05]",down
[0.00703102 0.01104945 0.01053366 ... 0.00140036 0.00176375 0.00229787],down
"[-6.0439727e-04 -9.9263573e-04 -1.0989381e-03 ...  9.7984703e-05
  6.8973973e-06 -8.6419815e-05]",down
"[2.5600260e-05 3.2652129e-05 4.4632834e-05 ... 7.4315481e-05 7.6951175e-05
 7.8451878e-05]",down
"[ 0.0022849   0.00362351  0.0030376  ... -0.00438017 -0.00400613
 -0.00289042]",down
"[-2.2541762e-09  3.2053182e-09  1.0948609e-08 ...  7.1634218e-05
  5.5059954e-05  6.0336217e-05]",down
"[-4.2181171e-05 -1.1766734e-04 -1.3131992e-04 ... -2.6969341e-04
 -2.7429283e-04 -2.9766548e-04]",down
"[-4.0775249e-06 -6.8982306e-05 -1.5046337e-04 ... -3.2021257e-05
 -3.2152646e-05  5.0029403e-06]",down
"[-1.3119756e-04 -1.4626842e-04 -4.9270348e-05 ...  6.6281485e-05
  1.5159354e-05 -3.9021710e-05]",down
"[ 2.4966266e-06  2.8319466e-05  1.2005582e-05 ...  6.5649397e-06
 -6.9237362e-06  9.8431647e-06]",down
[0.00373989 0.00503814 0.00464829 ... 0.00166972 0.00261382 0.00322068],down
"[2.7085753e-05 5.2416130e-05 6.9885042e-05 ... 5.3448661e-04 5.7124748e-04
 5.4293609e-04]",down
[0.00031394 0.00020785 0.00010806 ... 0.001402   0.00180422 0.00234669],down
"[-2.9152921e-05 -4.3526921e-05  5.9943464e-05 ... -5.1298464e-04
 -4.5217050e-04 -4.3833922e-04]",down
"[-0.00019201 -0.00031152 -0.00030223 ...  0.00015756  0.00011372
  0.00011399]",down
"[ 2.1993628e-05  5.1989755e-05  1.1494641e-04 ... -9.2141330e-05
 -1.7888499e-04 -2.0690654e-04]",down
"[-0.00016002 -0.00024612 -0.0002992  ... -0.00024754 -0.00019312
 -0.00013068]",down
[0.02591744 0.04748943 0.04316331 ... 0.02004458 0.01826703 0.01794406],down
"[ 0.00197292  0.00328575  0.00394171 ... -0.00741474 -0.00744598
 -0.00748523]",down
"[ 5.6148181e-04  3.4275989e-05 -8.0060668e-04 ...  3.9074270e-04
  4.4153805e-04  4.5420128e-04]",down
"[-5.6143923e-05 -1.1606472e-04 -1.4591918e-04 ... -6.4826163e-05
 -5.5885492e-05 -3.0938383e-05]",down
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  3.2263823e-05
  1.5414666e-05 -8.0452874e-06]",down
"[-0.00064553 -0.00133763 -0.0020261  ...  0.00096344  0.0008827
  0.00084128]",down
"[-1.5219208e-03 -2.2868656e-03 -1.6039266e-03 ... -7.4229913e-04
 -3.3504507e-04 -5.7654266e-05]",down
[0.00091834 0.00239027 0.00195266 ... 0.00041392 0.00035488 0.00067241],down
"[1.0140299e-04 1.2353863e-04 1.8541185e-04 ... 1.1122963e-04 7.9752601e-05
 9.3543917e-05]",down
"[ 1.19877775e-04  2.89825664e-04  3.59964877e-04 ... -7.90031772e-05
 -3.14113095e-05  4.12345726e-05]",down
"[ 3.3858563e-05  1.3360125e-04  1.5402061e-04 ...  3.6215120e-06
 -1.8008632e-05  1.8676452e-05]",down
"[-0.0010135  -0.00148994 -0.00124773 ... -0.00070272 -0.00076378
 -0.00081544]",down
"[-7.8716352e-05 -1.0363561e-04 -5.3303309e-05 ... -4.2155483e-05
  4.8254689e-05  8.3841835e-05]",down
"[-0.00298686 -0.00526657 -0.00604106 ...  0.00273564  0.00287161
  0.00343553]",down
"[ 7.9353573e-05  2.8089675e-04 -1.3869419e-04 ... -3.8744038e-04
 -3.1001831e-04 -2.1223110e-04]",down
"[-8.2447397e-05 -2.7182273e-04 -5.1545457e-04 ...  1.8680976e-04
  9.4945040e-05  4.7294539e-05]",down
"[-0.00118843 -0.00289917 -0.0039115  ... -0.00109424 -0.00123134
 -0.00139183]",down
"[ 8.7954009e-05 -4.1619397e-04 -1.3448755e-03 ... -1.3504541e-04
  1.6535472e-04  2.1379850e-05]",down
"[ 0.00210514  0.00342483  0.00428726 ... -0.0007482  -0.00090744
 -0.00058554]",down
"[-0.00052131 -0.00049882 -0.00056283 ... -0.00064065 -0.00086289
 -0.00079972]",down
[0.00053627 0.00054943 0.00049704 ... 0.00044235 0.00032595 0.00029189],down
"[ 0.00044535  0.00067328  0.00030016 ... -0.0012621  -0.00116349
 -0.00112272]",down
"[ 2.7660262e-05  3.1063908e-05  4.1002793e-05 ...  1.7377621e-05
 -1.3475626e-06 -3.6036279e-05]",down
"[ 5.6691846e-05 -5.8295950e-04 -1.7411790e-03 ... -6.7590643e-03
 -6.1741532e-03 -6.4037247e-03]",down
"[-2.6251948e-05 -1.0602991e-04 -1.4153149e-04 ... -7.9922029e-05
 -5.8879228e-05 -7.5531563e-05]",down
"[-0.00084647 -0.00122775 -0.0013592  ... -0.00322195 -0.00327521
 -0.00339009]",down
"[ 8.1233250e-04  1.0192000e-03  9.1615220e-04 ... -1.0038503e-04
 -7.5156262e-05 -4.5144694e-05]",down
"[ 1.6800084e-06  1.5374153e-06 -4.1459680e-06 ... -6.0721799e-05
  6.6366279e-06  1.4131593e-04]",down
"[-5.4554086e-09 -2.9212242e-07  3.1279563e-07 ... -1.6215755e-04
 -2.4292454e-04 -2.0705091e-04]",down
"[-0.00734974 -0.01025735 -0.00988698 ... -0.00472289 -0.00488474
 -0.00456035]",down
[0.00135949 0.0042098  0.00406404 ... 0.00308371 0.00318318 0.00304513],down
"[-0.02248688 -0.03037726 -0.02805701 ...  0.00449661  0.00445332
  0.00569571]",down
[0.0012738  0.00161842 0.00143348 ... 0.00051476 0.00048841 0.00038262],down
"[ 0.00159027  0.0029243   0.00278179 ... -0.0146855  -0.01729527
 -0.02044783]",down
"[-0.00627697 -0.01004595 -0.01089718 ...  0.01947343  0.01980655
  0.01766327]",down
"[-3.1126253e-04 -4.3029682e-04  1.6249763e-04 ... -3.1759730e-04
 -7.1216833e-05  4.5794691e-04]",down
"[ 0.00756813  0.00957922  0.00744949 ... -0.01270449 -0.01269855
 -0.01235981]",down
"[-0.0197502  -0.02587409 -0.02284008 ...  0.00913289  0.00928751
  0.01042256]",down
[0.01827138 0.02448015 0.02228791 ... 0.00493434 0.00598612 0.00687299],down
"[-0.00021834 -0.00101323 -0.00148838 ...  0.00064317  0.00070961
  0.00071884]",down
"[-2.53568778e-05  1.12479929e-05  1.07315238e-04 ...  2.00067698e-05
  9.50712638e-05  1.10080386e-04]",down
"[-0.00162932 -0.00212416 -0.00342282 ...  0.00267112  0.0036247
  0.0037647 ]",down
"[-0.00345758 -0.00514811 -0.00811132 ...  0.00774163  0.00875503
  0.00680778]",down
[0.01602956 0.01954718 0.01326878 ... 0.00589883 0.00609361 0.00612827],down
"[ 7.5832791e-06  1.2800418e-04  1.5286212e-04 ... -5.1907398e-05
 -2.1379437e-05  3.2585060e-05]",down
"[-0.00145076 -0.00253001 -0.00214542 ... -0.00103584 -0.00079337
 -0.00108258]",down
"[-0.00061541 -0.00183383 -0.00281613 ... -0.00397732 -0.00330523
 -0.00237382]",down
"[-0.00012417  0.00087034  0.00149035 ...  0.00050879  0.00037845
  0.00011219]",down
"[ 0.00023878  0.00030969  0.00064081 ... -0.00123789 -0.00123131
 -0.00041254]",down
"[ 1.3314745e-13  4.8850782e-14 -2.6234935e-14 ...  2.2485089e-03
  5.0894180e-03  6.5451046e-03]",down
"[-0.0004948  -0.00062508 -0.00054902 ...  0.00101181  0.00111036
  0.00105749]",down
"[-0.00116686 -0.00163838 -0.00153779 ... -0.00093922 -0.00137119
 -0.00181636]",down
"[-9.7602106e-07  7.4311185e-07  1.4162506e-06 ...  1.4165360e-05
  1.4411348e-05  1.2839901e-05]",down
"[-0.01574629 -0.02720226 -0.02156561 ... -0.00180205 -0.00085345
 -0.00128442]",down
"[ 0.00434914  0.00628106  0.00599134 ... -0.0035475  -0.00289222
 -0.00241524]",down
"[ 2.4738694e-05  5.2967407e-05  8.3569823e-05 ... -1.6638066e-04
 -1.3324050e-05  4.2253490e-05]",down
"[ 0.0169164   0.01938821  0.01412209 ... -0.00919519 -0.01084158
 -0.00321985]",down
"[-1.5483579e-07  2.3908699e-06 -2.2387701e-06 ...  1.2850195e-04
  1.1129294e-04 -3.0369463e-05]",down
"[ 4.9760997e-06  6.7095454e-05 -4.0148466e-04 ... -2.6604466e-04
 -1.1338290e-03 -2.2172274e-03]",down
"[ 0.01357375  0.01922119  0.01664853 ...  0.00026178  0.00052612
 -0.00120028]",down
"[-0.00123012 -0.00313782 -0.00322426 ...  0.0085832   0.00846694
  0.00756673]",down
"[-0.03200707 -0.04136235 -0.03537835 ... -0.02476833 -0.02431582
 -0.02371686]",down
"[-1.3726974e-04 -2.2487901e-04 -1.5729747e-04 ...  9.2966329e-05
  9.6703450e-05 -2.6316444e-05]",down
"[-0.00212764 -0.00313452 -0.00317194 ...  0.00173478  0.0012415
  0.00080715]",down
"[ 0.00031169  0.00058496  0.00045205 ... -0.00071031 -0.00098923
 -0.00085861]",down
"[-1.8164997e-04 -2.5213478e-04 -2.4881272e-04 ... -5.8988797e-05
 -7.0136935e-05 -1.0745394e-04]",down
"[-3.4843935e-05  6.4840430e-04 -1.0425805e-03 ... -1.1909105e-03
 -1.5663056e-04  3.8312070e-04]",down
"[-0.0014518  -0.00354238 -0.00296658 ... -0.00076578 -0.00079374
 -0.00076596]",down
"[-1.14588634e-04 -1.40539662e-04 -6.38833808e-05 ...  1.08979591e-04
 -1.20600580e-05 -9.51418624e-05]",down
"[-0.00278454 -0.00224261 -0.00110233 ...  0.000565    0.00044045
  0.00040566]",down
[0.00480144 0.00771974 0.00681184 ... 0.00151747 0.00201879 0.00265543],down
"[-0.00285808 -0.00653799 -0.00067041 ... -0.00870989 -0.00768672
 -0.00598104]",down
"[ 0.00549684  0.00912312  0.00751294 ... -0.00284541 -0.00104855
  0.00206845]",down
"[ 0.00159075  0.00308606  0.00305719 ... -0.00227895 -0.00234219
 -0.00200206]",down
[0.0019636  0.00302181 0.00310907 ... 0.00151927 0.00097251 0.00086809],down
"[-0.00033055 -0.00058252 -0.00052102 ... -0.000302   -0.00021681
 -0.00014091]",down
"[-0.00081481 -0.02638371 -0.05380974 ... -0.01715916 -0.02019141
 -0.01433427]",down
"[ 1.3418567e-04  1.6977148e-04  1.0359545e-04 ... -1.5719988e-05
  4.4882731e-06 -8.9229623e-05]",down
"[ 0.00018887  0.00173218  0.00201803 ... -0.00089715 -0.00158014
 -0.00214304]",down
"[-8.2385004e-04 -1.0903623e-03 -9.2038058e-04 ...  8.6246881e-05
  2.6651123e-04  2.6510874e-04]",down
"[-0.00201384 -0.00268556 -0.00226698 ...  0.00013303  0.00013884
  0.00017009]",down
"[ 0.0045058   0.04067691  0.03615006 ... -0.00557156 -0.00924389
  0.00603047]",down
"[ 2.8684319e-04  4.8035936e-04  5.9589342e-04 ... -3.4597004e-05
 -6.1220533e-05 -1.3018844e-05]",down
"[ 2.6049402e-05  2.7979817e-05  6.8553942e-05 ... -3.0365534e-04
 -2.4719600e-04 -1.8080084e-04]",down
"[-0.00159735 -0.00208685 -0.00174701 ... -0.00218612 -0.00170371
 -0.00152353]",down
"[1.8940949e-04 2.7817127e-04 3.7720226e-04 ... 8.5351385e-05 5.7409346e-05
 4.2503896e-05]",down
[0.00038234 0.00383188 0.00600445 ... 0.00089945 0.00107729 0.00146052],down
"[-2.6555990e-05 -5.5755569e-05 -9.1978858e-05 ...  6.3906418e-04
  6.2179763e-04  5.6768826e-04]",down
"[-0.00380158 -0.00504962 -0.00523049 ...  0.00735933  0.0071887
  0.00734574]",down
[0.0094822  0.01187963 0.00955212 ... 0.03206537 0.03113186 0.03043644],down
"[-0.00204502 -0.00345292 -0.00371744 ... -0.00179322 -0.00222414
 -0.00221166]",down
"[-0.00017377 -0.00019331 -0.00022446 ...  0.00019027  0.00040495
  0.00081396]",down
"[-9.9303504e-04  1.9462852e-04  1.2662308e-03 ... -1.3769391e-05
  1.5677149e-04 -3.7704039e-04]",down
"[-0.00061011 -0.001071   -0.00144645 ... -0.00087079 -0.00150379
 -0.0018318 ]",down
"[ 5.1826431e-04  1.5469638e-04 -2.6872606e-04 ... -7.6391560e-05
 -1.3696555e-04 -3.8351638e-05]",down
"[-2.1006940e-04 -2.8592636e-04 -2.9251212e-04 ... -2.9762656e-05
 -6.8648216e-05 -4.1784238e-05]",down
[0.00361666 0.00514862 0.00430417 ... 0.00262948 0.00357441 0.00411977],down
"[ 2.4151725e-09 -1.9006582e-10 -2.3152745e-10 ...  5.8289811e-07
 -5.8341784e-06 -3.7826578e-06]",down
"[-0.00045727 -0.00090885 -0.00087383 ... -0.00121836 -0.00096214
 -0.00051838]",down
"[-0.00024185  0.00220717  0.00424505 ... -0.00133659 -0.00197598
 -0.00174045]",down
"[ 0.00018623  0.00081446  0.00147218 ... -0.00022541 -0.00052364
 -0.00089666]",down
"[-0.04626733 -0.0636479  -0.06066568 ... -0.03788356 -0.03844535
 -0.03980326]",down
"[-0.04100014 -0.05566545 -0.05061069 ... -0.02536073 -0.02639714
 -0.02859728]",down
"[ 0.00243786  0.00308407  0.00266292 ... -0.00133408 -0.00141681
 -0.00155023]",down
[0.00203763 0.00277075 0.00261017 ... 0.00139036 0.00149586 0.00145608],down
"[-4.1946048e-05 -3.0656822e-04 -5.8910536e-04 ... -9.5420866e-05
 -1.5520054e-04 -6.5036496e-05]",down
